GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Under .50,Margin of Error; Total: - Under .50,Estimate; Total: - .50 to .99,Margin of Error; Total: - .50 to .99,Estimate; Total: - 1.00 to 1.24,Margin of Error; Total: - 1.00 to 1.24,Estimate; Total: - 1.25 to 1.49,Margin of Error; Total: - 1.25 to 1.49,Estimate; Total: - 1.50 to 1.84,Margin of Error; Total: - 1.50 to 1.84,Estimate; Total: - 1.85 to 1.99,Margin of Error; Total: - 1.85 to 1.99,Estimate; Total: - 2.00 and over,Margin of Error; Total: - 2.00 and over
1500000US110010076043,110010076043,"Block Group 3, Census Tract 76.04, District of Columbia, District of Columbia",1199,338,59,46,187,135,0,12,37,62,115,130,132,152,669,257
1500000US110010076051,110010076051,"Block Group 1, Census Tract 76.05, District of Columbia, District of Columbia",698,237,36,37,32,34,26,29,18,31,15,18,0,12,571,217
1500000US110010076052,110010076052,"Block Group 2, Census Tract 76.05, District of Columbia, District of Columbia",2387,350,224,89,490,266,166,214,94,68,46,40,119,126,1248,344
1500000US110010076053,110010076053,"Block Group 3, Census Tract 76.05, District of Columbia, District of Columbia",902,327,220,141,233,132,35,45,63,71,64,77,0,12,287,244
1500000US110010077031,110010077031,"Block Group 1, Census Tract 77.03, District of Columbia, District of Columbia",797,396,105,127,116,95,38,69,0,12,22,29,260,408,256,187
1500000US110010077032,110010077032,"Block Group 2, Census Tract 77.03, District of Columbia, District of Columbia",1126,519,170,269,60,73,286,403,162,186,45,69,77,121,326,188
1500000US110010077033,110010077033,"Block Group 3, Census Tract 77.03, District of Columbia, District of Columbia",3112,700,789,472,820,523,67,76,427,378,434,384,102,158,473,220
1500000US110010077034,110010077034,"Block Group 4, Census Tract 77.03, District of Columbia, District of Columbia",486,296,65,73,192,223,0,12,0,12,0,12,32,51,197,185
1500000US110010077071,110010077071,"Block Group 1, Census Tract 77.07, District of Columbia, District of Columbia",2769,549,743,534,511,401,251,239,117,154,85,61,146,114,916,240
1500000US110010077072,110010077072,"Block Group 2, Census Tract 77.07, District of Columbia, District of Columbia",1608,392,69,59,205,219,0,12,87,136,103,97,18,28,1126,377
1500000US110010077081,110010077081,"Block Group 1, Census Tract 77.08, District of Columbia, District of Columbia",1592,368,330,292,382,236,64,70,160,273,10,28,81,94,565,261
1500000US110010077082,110010077082,"Block Group 2, Census Tract 77.08, District of Columbia, District of Columbia",1420,312,56,55,142,107,177,171,120,110,43,53,16,24,866,296
1500000US110010077091,110010077091,"Block Group 1, Census Tract 77.09, District of Columbia, District of Columbia",1293,218,106,63,280,150,115,153,91,58,81,51,38,39,582,165
1500000US110010077092,110010077092,"Block Group 2, Census Tract 77.09, District of Columbia, District of Columbia",973,222,44,33,215,141,25,27,45,68,0,12,100,138,544,171
1500000US110010078031,110010078031,"Block Group 1, Census Tract 78.03, District of Columbia, District of Columbia",990,288,184,136,155,176,21,29,14,23,111,116,23,34,482,247
1500000US110010078032,110010078032,"Block Group 2, Census Tract 78.03, District of Columbia, District of Columbia",607,177,77,91,32,32,0,12,0,12,125,141,0,12,373,125
1500000US110010078033,110010078033,"Block Group 3, Census Tract 78.03, District of Columbia, District of Columbia",652,336,0,12,10,16,0,12,83,85,23,38,0,12,536,350
1500000US110010078034,110010078034,"Block Group 4, Census Tract 78.03, District of Columbia, District of Columbia",1413,327,249,263,121,90,218,171,20,33,151,109,26,30,628,214
1500000US110010078041,110010078041,"Block Group 1, Census Tract 78.04, District of Columbia, District of Columbia",900,403,114,146,216,230,0,12,0,12,12,18,10,15,548,323
1500000US110010078042,110010078042,"Block Group 2, Census Tract 78.04, District of Columbia, District of Columbia",1384,287,397,271,132,127,11,19,228,205,13,19,0,12,603,178
1500000US110010078043,110010078043,"Block Group 3, Census Tract 78.04, District of Columbia, District of Columbia",872,326,26,41,130,106,0,12,0,12,170,134,0,12,546,240
1500000US110010078061,110010078061,"Block Group 1, Census Tract 78.06, District of Columbia, District of Columbia",1030,207,135,68,177,96,94,75,75,78,47,57,39,41,463,152
1500000US110010078062,110010078062,"Block Group 2, Census Tract 78.06, District of Columbia, District of Columbia",1028,273,133,114,164,140,150,157,6,10,126,140,12,19,437,145
1500000US110010078071,110010078071,"Block Group 1, Census Tract 78.07, District of Columbia, District of Columbia",1381,216,100,69,103,71,133,118,77,66,12,18,24,29,932,220
1500000US110010078072,110010078072,"Block Group 2, Census Tract 78.07, District of Columbia, District of Columbia",934,197,75,86,67,38,206,140,0,12,21,29,54,59,511,167
1500000US110010078081,110010078081,"Block Group 1, Census Tract 78.08, District of Columbia, District of Columbia",1909,605,244,243,192,208,69,79,19,21,192,211,45,74,1148,537
1500000US110010078082,110010078082,"Block Group 2, Census Tract 78.08, District of Columbia, District of Columbia",842,297,72,49,223,181,18,20,10,17,11,16,25,39,483,250
1500000US110010078083,110010078083,"Block Group 3, Census Tract 78.08, District of Columbia, District of Columbia",1096,526,280,383,28,26,176,277,0,12,160,183,0,12,452,300
1500000US110010078091,110010078091,"Block Group 1, Census Tract 78.09, District of Columbia, District of Columbia",1995,388,305,184,149,102,154,164,74,72,145,141,24,38,1144,314
1500000US110010078092,110010078092,"Block Group 2, Census Tract 78.09, District of Columbia, District of Columbia",1066,336,177,249,192,223,0,12,21,36,161,129,0,12,515,212
1500000US110010079011,110010079011,"Block Group 1, Census Tract 79.01, District of Columbia, District of Columbia",324,154,55,57,101,128,16,26,0,12,30,33,6,9,116,63
1500000US110010079012,110010079012,"Block Group 2, Census Tract 79.01, District of Columbia, District of Columbia",998,243,0,12,79,73,17,27,118,142,26,39,23,34,735,195
1500000US110010079013,110010079013,"Block Group 3, Census Tract 79.01, District of Columbia, District of Columbia",1548,401,117,94,170,141,49,40,31,29,83,102,0,12,1098,397
1500000US110010079014,110010079014,"Block Group 4, Census Tract 79.01, District of Columbia, District of Columbia",1011,228,194,120,145,138,97,132,21,34,0,12,123,131,431,145
1500000US110010079031,110010079031,"Block Group 1, Census Tract 79.03, District of Columbia, District of Columbia",1890,250,213,157,151,120,23,21,54,38,110,90,17,27,1322,172
1500000US110010080011,110010080011,"Block Group 1, Census Tract 80.01, District of Columbia, District of Columbia",694,258,10,13,0,12,0,12,6,9,1,13,0,12,677,252
1500000US110010080012,110010080012,"Block Group 2, Census Tract 80.01, District of Columbia, District of Columbia",1527,217,80,73,41,34,20,22,0,12,0,12,18,26,1368,218
1500000US110010080013,110010080013,"Block Group 3, Census Tract 80.01, District of Columbia, District of Columbia",891,311,9,12,57,56,11,15,0,12,6,11,0,12,808,315
1500000US110010080021,110010080021,"Block Group 1, Census Tract 80.02, District of Columbia, District of Columbia",1208,204,91,56,12,19,11,25,34,32,7,11,60,68,993,201
1500000US110010080022,110010080022,"Block Group 2, Census Tract 80.02, District of Columbia, District of Columbia",2219,240,49,55,47,75,37,41,34,34,42,52,0,12,2010,253
1500000US110010081001,110010081001,"Block Group 1, Census Tract 81, District of Columbia, District of Columbia",825,187,20,29,0,12,9,17,9,14,114,110,5,8,668,167
1500000US110010081002,110010081002,"Block Group 2, Census Tract 81, District of Columbia, District of Columbia",1554,221,12,18,0,12,50,61,39,55,26,26,0,12,1427,212
1500000US110010081003,110010081003,"Block Group 3, Census Tract 81, District of Columbia, District of Columbia",843,177,30,46,11,18,0,12,0,12,0,12,32,51,770,173
1500000US110010082001,110010082001,"Block Group 1, Census Tract 82, District of Columbia, District of Columbia",894,261,0,12,0,12,23,25,0,12,0,12,20,33,851,259
1500000US110010082002,110010082002,"Block Group 2, Census Tract 82, District of Columbia, District of Columbia",1887,250,173,148,27,28,5,4,36,37,9,15,0,12,1637,198
1500000US110010083011,110010083011,"Block Group 1, Census Tract 83.01, District of Columbia, District of Columbia",1203,246,29,38,10,8,0,12,0,12,25,36,0,12,1139,239
1500000US110010083012,110010083012,"Block Group 2, Census Tract 83.01, District of Columbia, District of Columbia",1146,230,34,34,27,24,0,12,7,12,8,12,0,12,1070,226
1500000US110010083021,110010083021,"Block Group 1, Census Tract 83.02, District of Columbia, District of Columbia",2303,154,72,39,41,28,117,104,8,13,61,49,0,12,2004,186
1500000US110010084021,110010084021,"Block Group 1, Census Tract 84.02, District of Columbia, District of Columbia",1022,243,31,40,3,8,6,9,2,4,24,26,0,12,956,239
1500000US110010084022,110010084022,"Block Group 2, Census Tract 84.02, District of Columbia, District of Columbia",1089,178,34,33,185,91,60,44,11,17,10,17,0,12,789,154
1500000US110010084101,110010084101,"Block Group 1, Census Tract 84.10, District of Columbia, District of Columbia",1441,183,58,41,49,42,22,31,0,12,22,30,17,19,1273,182
1500000US110010087011,110010087011,"Block Group 1, Census Tract 87.01, District of Columbia, District of Columbia",1507,337,47,48,77,90,38,47,34,40,36,31,0,12,1275,285
1500000US110010087012,110010087012,"Block Group 2, Census Tract 87.01, District of Columbia, District of Columbia",1127,332,109,97,49,33,18,23,32,53,84,119,0,12,835,288
1500000US110010087021,110010087021,"Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",1285,179,149,94,252,129,72,73,108,90,5,8,47,67,652,168
1500000US110010087022,110010087022,"Block Group 2, Census Tract 87.02, District of Columbia, District of Columbia",741,189,48,26,79,54,20,21,0,12,14,14,25,30,555,173
1500000US110010088021,110010088021,"Block Group 1, Census Tract 88.02, District of Columbia, District of Columbia",617,246,25,29,115,115,9,14,9,15,51,54,0,12,408,165
1500000US110010088022,110010088022,"Block Group 2, Census Tract 88.02, District of Columbia, District of Columbia",1628,381,154,116,279,214,60,56,212,242,57,78,0,12,866,234
1500000US110010088023,110010088023,"Block Group 3, Census Tract 88.02, District of Columbia, District of Columbia",1469,368,129,95,38,43,92,94,67,74,65,65,10,15,1068,352
1500000US110010088024,110010088024,"Block Group 4, Census Tract 88.02, District of Columbia, District of Columbia",1172,360,73,45,233,188,10,16,9,14,106,83,0,12,741,339
1500000US110010088031,110010088031,"Block Group 1, Census Tract 88.03, District of Columbia, District of Columbia",1536,351,540,327,258,139,172,110,49,47,33,45,29,34,455,145
1500000US110010088041,110010088041,"Block Group 1, Census Tract 88.04, District of Columbia, District of Columbia",959,302,76,72,79,58,31,36,45,67,32,50,0,12,696,287
1500000US110010088042,110010088042,"Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia",1520,309,312,211,195,120,99,61,65,72,89,74,17,14,743,217
1500000US110010089031,110010089031,"Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia",2621,435,103,80,616,367,407,250,89,88,61,62,49,69,1296,305
