GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US110010003001,110010003001,"Block Group 1, Census Tract 3, District of Columbia, District of Columbia",481,106,88,82,0,12,14,24,0,12,0,12,0,12,12,19,0,12,0,12,16,25,0,12,30,35,58,54,49,50,29,33,185,76
1500000US110010003002,110010003002,"Block Group 2, Census Tract 3, District of Columbia, District of Columbia",876,133,24,31,38,44,0,12,22,36,16,25,0,12,10,16,0,12,21,32,111,65,90,81,142,63,98,58,52,49,58,51,194,118
1500000US110010003003,110010003003,"Block Group 3, Census Tract 3, District of Columbia, District of Columbia",556,109,69,60,0,12,0,12,0,12,0,12,56,72,0,12,24,34,0,12,27,31,19,29,42,39,37,34,46,43,27,32,209,76
1500000US110010003004,110010003004,"Block Group 4, Census Tract 3, District of Columbia, District of Columbia",631,87,7,11,0,12,0,12,0,12,0,12,19,32,0,12,0,12,14,22,0,12,0,12,53,46,44,41,79,65,155,76,260,81
1500000US110010004001,110010004001,"Block Group 1, Census Tract 4, District of Columbia, District of Columbia",204,40,5,8,0,12,0,12,0,12,0,12,0,12,5,7,0,12,0,12,5,9,0,12,23,21,7,11,6,9,21,20,132,33
1500000US110010004002,110010004002,"Block Group 2, Census Tract 4, District of Columbia, District of Columbia",441,61,23,20,6,9,14,16,22,25,5,7,0,12,34,45,0,12,4,7,8,10,19,15,46,37,57,39,11,15,27,22,165,44
1500000US110010005011,110010005011,"Block Group 1, Census Tract 5.01, District of Columbia, District of Columbia",772,124,30,38,27,26,0,12,20,32,14,22,35,54,53,66,0,12,25,29,19,21,91,98,90,59,178,93,10,19,58,49,122,62
1500000US110010005012,110010005012,"Block Group 2, Census Tract 5.01, District of Columbia, District of Columbia",1199,148,69,75,16,25,5,10,41,36,0,12,27,31,21,33,0,12,29,33,152,113,37,37,126,74,123,65,70,43,176,119,307,128
1500000US110010005021,110010005021,"Block Group 1, Census Tract 5.02, District of Columbia, District of Columbia",765,72,6,11,0,12,0,12,0,12,5,8,12,18,8,12,23,18,0,12,47,29,43,32,71,50,116,48,97,44,59,37,278,56
1500000US110010005022,110010005022,"Block Group 2, Census Tract 5.02, District of Columbia, District of Columbia",794,82,37,29,24,36,0,12,9,14,16,19,40,32,0,12,15,18,0,12,39,28,57,36,122,53,110,46,86,53,89,44,150,59
1500000US110010006001,110010006001,"Block Group 1, Census Tract 6, District of Columbia, District of Columbia",619,104,27,43,19,29,0,12,0,12,0,12,11,18,0,12,0,12,0,12,14,23,43,37,28,33,81,50,65,47,143,77,188,110
1500000US110010006002,110010006002,"Block Group 2, Census Tract 6, District of Columbia, District of Columbia",473,117,10,16,0,12,11,16,0,12,0,12,0,12,12,19,14,23,0,12,32,49,13,21,0,12,27,31,7,12,13,21,334,123
1500000US110010006003,110010006003,"Block Group 3, Census Tract 6, District of Columbia, District of Columbia",372,98,29,33,0,12,22,40,0,12,0,12,0,12,0,12,34,54,0,12,0,12,35,29,17,27,46,57,8,13,14,23,167,77
1500000US110010006004,110010006004,"Block Group 4, Census Tract 6, District of Columbia, District of Columbia",706,103,0,12,0,12,0,12,0,12,0,12,0,12,10,17,0,12,0,12,0,12,50,47,63,41,53,46,62,54,65,76,403,112
