id2,BG_ID,BG_NAME,Geography,Population,Pct_Poverty,Pct_UnEmpl,Pct_VacUnits
1.10E+11,A098072,"Block Group 2, Census Tract 98.07, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.07, District of Columbia, District of Columbia",2216,24.68443198,22.96099291,25.93984962
1.10E+11,A098101,"Block Group 1, Census Tract 98.10, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.10, District of Columbia, District of Columbia",1728,39.19392523,39.09774436,3.170409511
1.10E+11,A098102,"Block Group 2, Census Tract 98.10, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.10, District of Columbia, District of Columbia",930,45.16129032,13.74207188,0
1.10E+11,A098111,"Block Group 1, Census Tract 98.11, District of Columbia, District of Columbia","Block Group 1, Census Tract 98.11, District of Columbia, District of Columbia",2027,42.08189443,42.41781548,20.88024565
1.10E+11,A098112,"Block Group 2, Census Tract 98.11, District of Columbia, District of Columbia","Block Group 2, Census Tract 98.11, District of Columbia, District of Columbia",3064,30.9073107,21.5832711,8.404074703
1.10E+11,A099011,"Block Group 1, Census Tract 99.01, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.01, District of Columbia, District of Columbia",1029,12.34207969,9.964412811,0
1.10E+11,A099012,"Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia",1689,7.282415631,11.50837989,14.28571429
1.10E+11,A099021,"Block Group 1, Census Tract 99.02, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.02, District of Columbia, District of Columbia",812,14.71698113,13.31592689,16
1.10E+11,A099022,"Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.02, District of Columbia, District of Columbia",2152,13.80111524,14.33823529,18.72246696
1.10E+11,A099031,"Block Group 1, Census Tract 99.03, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.03, District of Columbia, District of Columbia",1175,20.85106383,7.783417936,7.855626327
1.10E+11,A099032,"Block Group 2, Census Tract 99.03, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.03, District of Columbia, District of Columbia",679,18.40942563,5.292479109,11.8466899
1.10E+11,A099041,"Block Group 1, Census Tract 99.04, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.04, District of Columbia, District of Columbia",774,26.44736842,13.27433628,30.84337349
1.10E+11,A099042,"Block Group 2, Census Tract 99.04, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.04, District of Columbia, District of Columbia",1822,38.44026549,15.54726368,17.81737194
1.10E+11,A099051,"Block Group 1, Census Tract 99.05, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.05, District of Columbia, District of Columbia",1261,26.16970658,27.75263952,20.51756007
1.10E+11,A099052,"Block Group 2, Census Tract 99.05, District of Columbia, District of Columbia","Block Group 2, Census Tract 99.05, District of Columbia, District of Columbia",763,24.9017038,26.92307692,23.28431373
1.10E+11,A099053,"Block Group 3, Census Tract 99.05, District of Columbia, District of Columbia","Block Group 3, Census Tract 99.05, District of Columbia, District of Columbia",873,24.67065868,27.83300199,16.70480549
1.10E+11,A099061,"Block Group 1, Census Tract 99.06, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.06, District of Columbia, District of Columbia",1463,25.01708817,15.28326746,14.17721519
1.10E+11,A099071,"Block Group 1, Census Tract 99.07, District of Columbia, District of Columbia","Block Group 1, Census Tract 99.07, District of Columbia, District of Columbia",576,20.3125,5.035971223,8.988764045
