OFFENSE,BLOCK_GROUP,COUNT,BG_ID
ASSAULT W/DANGEROUS WEAPON,007401 1,85,A074011
ASSAULT W/DANGEROUS WEAPON,007401 2,59,A074012
ASSAULT W/DANGEROUS WEAPON,007403 1,101,A074031
ASSAULT W/DANGEROUS WEAPON,007404 1,42,A074041
ASSAULT W/DANGEROUS WEAPON,007404 2,35,A074042
ASSAULT W/DANGEROUS WEAPON,007404 3,65,A074043
ASSAULT W/DANGEROUS WEAPON,007406 1,30,A074061
ASSAULT W/DANGEROUS WEAPON,007406 2,100,A074062
ASSAULT W/DANGEROUS WEAPON,007407 1,29,A074071
ASSAULT W/DANGEROUS WEAPON,007407 2,69,A074072
ASSAULT W/DANGEROUS WEAPON,007408 1,131,A074081
ASSAULT W/DANGEROUS WEAPON,007409 1,21,A074091
ASSAULT W/DANGEROUS WEAPON,007409 2,56,A074092
ASSAULT W/DANGEROUS WEAPON,007409 3,72,A074093
ASSAULT W/DANGEROUS WEAPON,007502 1,84,A075021
ASSAULT W/DANGEROUS WEAPON,007502 2,97,A075022
ASSAULT W/DANGEROUS WEAPON,007503 1,79,A075031
ASSAULT W/DANGEROUS WEAPON,007503 2,77,A075032
ASSAULT W/DANGEROUS WEAPON,007504 1,182,A075041
ASSAULT W/DANGEROUS WEAPON,007601 1,35,A076011
ASSAULT W/DANGEROUS WEAPON,007601 2,21,A076012
ASSAULT W/DANGEROUS WEAPON,007601 3,79,A076013
ASSAULT W/DANGEROUS WEAPON,007601 4,71,A076014
ASSAULT W/DANGEROUS WEAPON,007601 5,33,A076015
ASSAULT W/DANGEROUS WEAPON,007603 1,36,A076031
ASSAULT W/DANGEROUS WEAPON,007603 2,22,A076032
ASSAULT W/DANGEROUS WEAPON,007603 3,13,A076033
ASSAULT W/DANGEROUS WEAPON,007603 4,13,A076034
ASSAULT W/DANGEROUS WEAPON,007604 1,49,A076041
ASSAULT W/DANGEROUS WEAPON,007604 2,34,A076042
ASSAULT W/DANGEROUS WEAPON,007604 3,24,A076043
ASSAULT W/DANGEROUS WEAPON,007605 1,5,A076051
ASSAULT W/DANGEROUS WEAPON,007605 2,34,A076052
ASSAULT W/DANGEROUS WEAPON,007605 3,39,A076053
ASSAULT W/DANGEROUS WEAPON,007703 1,29,A077031
ASSAULT W/DANGEROUS WEAPON,007703 2,25,A077032
ASSAULT W/DANGEROUS WEAPON,007703 3,134,A077033
ASSAULT W/DANGEROUS WEAPON,007703 4,17,A077034
ASSAULT W/DANGEROUS WEAPON,007707 1,130,A077071
ASSAULT W/DANGEROUS WEAPON,007707 2,44,A077072
ASSAULT W/DANGEROUS WEAPON,007708 1,42,A077081
ASSAULT W/DANGEROUS WEAPON,007708 2,62,A077082
ASSAULT W/DANGEROUS WEAPON,007709 1,43,A077091
ASSAULT W/DANGEROUS WEAPON,007709 2,33,A077092
ASSAULT W/DANGEROUS WEAPON,007803 1,102,A078031
ASSAULT W/DANGEROUS WEAPON,007803 2,25,A078032
ASSAULT W/DANGEROUS WEAPON,007803 3,18,A078033
ASSAULT W/DANGEROUS WEAPON,007803 4,40,A078034
ASSAULT W/DANGEROUS WEAPON,007804 1,51,A078041
ASSAULT W/DANGEROUS WEAPON,007804 2,86,A078042
ASSAULT W/DANGEROUS WEAPON,007804 3,29,A078043
ASSAULT W/DANGEROUS WEAPON,007806 1,57,A078061
ASSAULT W/DANGEROUS WEAPON,007806 2,65,A078062
ASSAULT W/DANGEROUS WEAPON,007807 1,53,A078071
ASSAULT W/DANGEROUS WEAPON,007807 2,57,A078072
ASSAULT W/DANGEROUS WEAPON,007808 1,98,A078081
ASSAULT W/DANGEROUS WEAPON,007808 2,63,A078082
ASSAULT W/DANGEROUS WEAPON,007808 3,32,A078083
ASSAULT W/DANGEROUS WEAPON,007809 1,66,A078091
ASSAULT W/DANGEROUS WEAPON,007809 2,43,A078092
ASSAULT W/DANGEROUS WEAPON,007901 1,65,A079011
ASSAULT W/DANGEROUS WEAPON,007901 2,23,A079012
ASSAULT W/DANGEROUS WEAPON,007901 3,51,A079013
ASSAULT W/DANGEROUS WEAPON,007901 4,94,A079014
ASSAULT W/DANGEROUS WEAPON,007903 1,65,A079031
ASSAULT W/DANGEROUS WEAPON,008001 1,15,A080011
ASSAULT W/DANGEROUS WEAPON,008001 2,14,A080012
ASSAULT W/DANGEROUS WEAPON,008001 3,2,A080013
ASSAULT W/DANGEROUS WEAPON,008002 1,15,A080021
ASSAULT W/DANGEROUS WEAPON,008002 2,10,A080022
ASSAULT W/DANGEROUS WEAPON,008100 2,4,A081002
ASSAULT W/DANGEROUS WEAPON,008301 1,6,A083011
ASSAULT W/DANGEROUS WEAPON,008301 2,2,A083012
ASSAULT W/DANGEROUS WEAPON,008302 1,24,A083021
ASSAULT W/DANGEROUS WEAPON,008402 1,58,A084021
ASSAULT W/DANGEROUS WEAPON,008402 2,16,A084022
ASSAULT W/DANGEROUS WEAPON,008410 1,37,A084101
ASSAULT W/DANGEROUS WEAPON,008701 1,32,A087011
ASSAULT W/DANGEROUS WEAPON,008701 2,18,A087012
ASSAULT W/DANGEROUS WEAPON,008702 1,40,A087021
ASSAULT W/DANGEROUS WEAPON,008702 2,9,A087022
ASSAULT W/DANGEROUS WEAPON,008802 1,47,A088021
ASSAULT W/DANGEROUS WEAPON,008802 2,66,A088022
ASSAULT W/DANGEROUS WEAPON,008802 3,19,A088023
ASSAULT W/DANGEROUS WEAPON,008802 4,40,A088024
ASSAULT W/DANGEROUS WEAPON,008803 1,169,A088031
ASSAULT W/DANGEROUS WEAPON,008804 1,44,A088041
ASSAULT W/DANGEROUS WEAPON,008804 2,107,A088042
ASSAULT W/DANGEROUS WEAPON,008903 1,68,A089031
ASSAULT W/DANGEROUS WEAPON,008903 2,29,A089032
ASSAULT W/DANGEROUS WEAPON,008904 1,117,A089041
ASSAULT W/DANGEROUS WEAPON,008904 2,77,A089042
ASSAULT W/DANGEROUS WEAPON,009000 1,12,A090001
ASSAULT W/DANGEROUS WEAPON,009000 2,12,A090002
ASSAULT W/DANGEROUS WEAPON,009102 1,23,A091021
ASSAULT W/DANGEROUS WEAPON,009102 2,98,A091022
ASSAULT W/DANGEROUS WEAPON,009102 3,48,A091023
ASSAULT W/DANGEROUS WEAPON,009201 1,34,A092011
ASSAULT W/DANGEROUS WEAPON,009203 1,6,A092031
ASSAULT W/DANGEROUS WEAPON,009203 2,29,A092032
ASSAULT W/DANGEROUS WEAPON,009204 1,39,A092041
